radius_mean,perimeter_mean,"diagnosis(1=m, 0=b)",area_mean,radius_worst,perimeter_worst,area_worst,concavity_mean,concave points_mean,compactness_mean,concavity_worst,concave points_worst,compactness_worst
17.14,116.0,1,912.7,22.25,152.4,1461.0,0.2229,0.1401,0.2276,0.3853,0.255,0.3949
14.58,97.41,1,644.8,17.62,122.4,896.9,0.1425,0.08783,0.1868,0.5539,0.2701,0.6643
18.61,122.1,1,1094.0,21.31,139.9,1403.0,0.149,0.07731,0.1066,0.3446,0.149,0.2117
15.3,102.4,1,732.4,20.27,149.3,1269.0,0.1683,0.08751,0.1697,0.6335,0.2024,0.611
17.57,115.0,1,955.1,20.01,134.9,1227.0,0.09875,0.07953,0.1157,0.2489,0.1456,0.2812
18.63,124.8,1,1088.0,23.15,160.5,1670.0,0.2319,0.1244,0.1887,0.6133,0.1848,0.4257
11.84,77.93,1,440.6,16.82,119.4,888.7,0.1218,0.05182,0.1516,0.6956,0.1546,0.5775
17.02,112.8,1,899.3,20.88,136.1,1344.0,0.2417,0.1203,0.1496,0.5588,0.1847,0.3559
19.27,127.9,1,1162.0,24.15,161.4,1813.0,0.1657,0.07593,0.1719,0.6091,0.1785,0.659
16.13,107.0,1,807.2,20.21,132.7,1261.0,0.1354,0.07752,0.1559,0.5274,0.1864,0.5804
16.74,110.1,1,869.5,20.01,133.5,1229.0,0.1348,0.06018,0.1336,0.5409,0.1813,0.3835
14.25,93.63,1,633.0,15.89,116.2,799.6,0.1319,0.05598,0.1098,0.5186,0.1447,0.4238
13.03,82.61,0,523.8,13.3,84.46,545.9,0.02562,0.02923,0.03766,0.04833,0.05013,0.04619
14.99,95.54,1,698.8,14.99,95.54,698.8,0.02398,0.02899,0.05131,0.02398,0.02899,0.05131
13.48,88.4,1,559.2,15.53,107.3,740.4,0.1063,0.05439,0.1255,0.503,0.2258,0.4225
13.44,86.18,1,563.0,15.93,102.5,787.9,0.0311,0.02031,0.06031,0.2085,0.1112,0.2043
10.95,71.9,1,371.1,12.84,87.22,514.0,0.1044,0.05669,0.1218,0.4023,0.1424,0.2698
19.07,128.3,1,1104.0,24.09,177.4,1651.0,0.2107,0.09961,0.219,0.7242,0.2493,0.7444
13.28,87.32,1,545.2,17.38,113.1,907.2,0.09847,0.06158,0.1436,0.3664,0.1492,0.3724
13.17,85.42,1,531.5,16.23,105.5,740.7,0.08259,0.05252,0.1047,0.3728,0.1607,0.3904
18.65,123.7,1,1076.0,22.82,150.6,1567.0,0.1974,0.1009,0.1686,0.7345,0.2378,0.509
8.196,51.71,0,201.9,8.964,57.26,242.2,0.01588,0.005917,0.05943,0.0688,0.02564,0.1357
13.17,85.98,1,534.6,15.67,102.8,759.4,0.1226,0.0734,0.1231,0.5006,0.2088,0.4166
12.05,78.04,0,449.3,13.76,89.88,582.6,0.06592,0.02749,0.09092,0.305,0.06548,0.2156
13.49,86.91,0,561.0,15.15,99.0,698.8,0.04751,0.03384,0.07698,0.2282,0.1282,0.1711
11.76,74.72,0,427.9,12.98,82.98,516.5,0.01657,0.01115,0.04966,0.05523,0.03715,0.08615
13.64,87.21,0,571.8,14.67,96.08,656.7,0.01857,0.01723,0.06059,0.105,0.08586,0.1582
11.94,75.71,0,437.6,13.1,83.67,527.2,0.01972,0.01349,0.04751,0.09203,0.06296,0.08906
18.22,120.3,1,1033.0,20.6,135.1,1321.0,0.1772,0.106,0.1485,0.2623,0.1325,0.2297
15.1,97.26,1,712.8,18.1,117.7,1030.0,0.05253,0.03334,0.07081,0.2712,0.153,0.2057
11.52,73.34,0,409.0,12.84,81.81,506.2,0.03036,0.02278,0.05473,0.09076,0.06316,0.0872
19.21,125.5,1,1152.0,26.14,170.1,2145.0,0.1323,0.08994,0.1267,0.3879,0.2091,0.3511
14.71,95.55,1,656.9,17.87,115.7,985.5,0.1293,0.08123,0.1365,0.3587,0.1834,0.429
13.05,82.61,0,527.2,14.23,90.24,624.1,0.000692,0.004167,0.03789,0.001845,0.01111,0.06191
8.618,54.34,0,224.5,9.507,59.9,274.9,0.02061,0.007799,0.05272,0.1168,0.04419,0.1239
10.17,64.55,0,311.9,11.02,69.86,368.6,0.01084,0.0129,0.08061,0.02168,0.02579,0.09866
8.598,54.66,0,221.8,9.565,62.06,273.9,0.03,0.009259,0.08963,0.09001,0.02778,0.1698
14.25,96.42,1,645.7,17.67,119.1,959.5,0.2135,0.08653,0.2008,0.6922,0.1785,0.6247
9.173,59.2,0,260.9,10.01,65.59,310.1,0.05988,0.0218,0.08751,0.1397,0.05087,0.1678
12.68,82.69,1,499.0,17.09,111.8,888.3,0.1128,0.06873,0.1262,0.4024,0.1716,0.4061
14.78,97.4,1,668.3,17.31,114.6,925.1,0.1267,0.09029,0.1479,0.3024,0.1614,0.3416
9.465,60.11,0,269.4,10.41,67.03,330.7,0.02172,0.01504,0.07773,0.09412,0.06517,0.1664
11.31,71.8,0,394.1,12.33,78.0,466.7,0.03709,0.0223,0.04701,0.1444,0.06961,0.09148
9.029,58.79,0,250.5,10.31,65.5,324.7,0.313,0.04375,0.1413,1.252,0.175,0.4365
12.78,81.37,0,502.5,13.46,85.67,554.9,0.03653,0.02864,0.05234,0.1039,0.05882,0.07061
18.94,123.6,1,1130.0,24.86,165.9,1866.0,0.108,0.07951,0.1029,0.2687,0.1789,0.2336
8.888,58.79,0,244.0,9.733,62.56,284.4,0.08606,0.02872,0.1531,0.1434,0.04786,0.2436
17.2,114.2,1,929.4,23.32,151.6,1681.0,0.1692,0.07944,0.183,0.6566,0.1899,0.7394
13.8,90.43,1,584.1,16.57,110.3,812.4,0.07789,0.05069,0.128,0.2779,0.1383,0.3542
12.31,79.19,0,470.9,14.11,89.71,611.1,0.03372,0.02272,0.06829,0.1703,0.0866,0.1843
16.07,104.1,1,817.7,19.77,128.8,1223.0,0.09769,0.06638,0.08424,0.2829,0.152,0.2045
13.53,87.91,0,559.2,14.08,91.36,605.5,0.06877,0.06556,0.1047,0.08539,0.07407,0.1379
18.05,120.2,1,1006.0,22.39,150.1,1610.0,0.1684,0.108,0.2146,0.3786,0.2102,0.5634
20.18,143.7,1,1245.0,23.37,170.3,1623.0,0.3754,0.1604,0.3454,0.7681,0.2508,0.6164
12.86,83.19,0,506.3,14.24,91.88,622.1,0.03889,0.02315,0.09546,0.1731,0.07926,0.2141
11.45,73.81,0,401.5,13.11,84.53,525.1,0.04591,0.02233,0.09362,0.1755,0.06127,0.1676
13.34,86.49,0,520.0,15.53,96.66,614.9,0.1169,0.06987,0.1535,0.4858,0.1708,0.4791
25.22,171.5,1,1878.0,30.0,211.7,2562.0,0.3339,0.1845,0.2665,0.6476,0.2867,0.6076
19.1,129.1,1,1132.0,20.33,141.3,1298.0,0.1937,0.1469,0.1791,0.2432,0.1841,0.2817
12.0,76.95,0,443.3,13.67,87.78,567.9,0.04151,0.01863,0.07165,0.2267,0.07632,0.2003
18.46,121.1,1,1075.0,22.93,152.2,1603.0,0.1335,0.08795,0.1053,0.3157,0.1642,0.2089
14.48,94.25,1,648.2,16.21,108.4,808.9,0.1204,0.04938,0.09947,0.3349,0.1225,0.1976
19.02,122.0,1,1076.0,24.56,152.9,1623.0,0.1468,0.08271,0.1206,0.5755,0.1956,0.3206
12.36,79.78,0,466.1,13.83,91.46,574.7,0.06015,0.03745,0.09445,0.2434,0.1205,0.2463
14.64,95.77,0,651.9,16.34,109.4,803.6,0.09966,0.07064,0.1339,0.2604,0.1397,0.3089
14.62,94.57,0,662.7,16.11,102.9,803.7,0.03102,0.02957,0.08606,0.09189,0.06946,0.1766
15.37,100.2,1,728.2,16.43,107.5,830.9,0.1122,0.07483,0.1036,0.2846,0.1476,0.1997
13.27,84.74,0,551.7,16.36,104.5,830.6,0.03261,0.02648,0.05055,0.135,0.1001,0.1238
13.45,86.6,0,555.1,15.1,97.59,699.4,0.03974,0.0278,0.08165,0.1381,0.07911,0.1751
15.06,100.3,1,705.6,18.23,123.5,1025.0,0.17,0.08815,0.1553,0.5203,0.2115,0.4203
20.26,132.4,1,1264.0,24.22,156.1,1750.0,0.1465,0.08683,0.1313,0.4098,0.1573,0.3539
12.18,77.79,0,451.1,12.83,82.14,495.2,0.0249,0.02941,0.07057,0.0498,0.05882,0.09358
9.787,62.11,0,294.5,10.92,68.81,366.1,0.006829,0.007937,0.05301,0.02049,0.02381,0.09473
11.6,74.34,0,412.6,13.06,82.96,512.5,0.04196,0.0335,0.07525,0.1922,0.08449,0.1851
14.42,94.48,1,642.5,16.33,109.5,826.4,0.09388,0.05839,0.1141,0.3194,0.1565,0.3026
13.61,88.05,1,582.7,16.99,108.6,906.5,0.08625,0.04489,0.08511,0.3169,0.1184,0.1943
6.981,43.79,0,143.5,7.93,50.41,185.2,0.0,0.0,0.07568,0.0,0.0,0.1202
12.18,77.22,0,458.7,13.34,84.58,547.8,0.02383,0.0177,0.04038,0.1145,0.07431,0.08862
9.876,63.95,0,298.3,10.76,72.22,361.2,0.06154,0.03029,0.09697,0.2644,0.09749,0.2302
10.49,67.41,0,336.1,11.54,74.22,402.8,0.02995,0.01201,0.08578,0.07987,0.03203,0.1486
13.11,87.21,1,530.2,16.31,106.4,827.2,0.2071,0.09601,0.1765,0.6376,0.1986,0.4099
11.64,75.17,0,412.5,13.14,85.51,521.7,0.0707,0.03485,0.1017,0.2873,0.1218,0.266
12.36,79.01,0,466.7,13.29,85.56,544.1,0.02643,0.01921,0.06815,0.1937,0.08442,0.1963
22.27,152.8,1,1509.0,28.4,206.8,2360.0,0.4264,0.1823,0.2768,0.9608,0.291,0.6997
11.34,72.48,0,396.5,13.01,83.99,518.1,0.05133,0.01899,0.06575,0.312,0.08278,0.2196
9.777,62.5,0,290.2,11.05,71.68,367.0,0.04334,0.01778,0.08404,0.13,0.05334,0.1765
12.63,82.15,0,480.4,13.33,89.0,527.4,0.1065,0.06021,0.1209,0.2216,0.1105,0.225
14.26,97.83,0,629.9,15.3,107.0,709.0,0.3003,0.07798,0.2233,0.6783,0.1505,0.4193
10.51,68.64,0,334.2,11.16,72.62,374.4,0.06476,0.03068,0.1303,0.1295,0.06136,0.2049
8.726,55.84,0,230.9,9.628,64.48,284.4,0.04132,0.01924,0.08201,0.2456,0.105,0.2364
11.93,76.53,0,438.6,13.67,87.54,583.0,0.03328,0.02008,0.07849,0.1503,0.07247,0.2399
8.95,58.74,0,245.2,9.414,63.34,270.0,0.09263,0.02308,0.1243,0.1544,0.03846,0.1879
14.87,98.64,1,682.5,18.81,127.1,1095.0,0.169,0.08923,0.1649,0.4704,0.2027,0.448
15.78,105.7,1,782.6,20.19,130.3,1272.0,0.2133,0.09479,0.1752,0.7356,0.2034,0.4925
17.95,114.2,1,982.0,20.58,129.2,1261.0,0.07293,0.05596,0.06722,0.2249,0.1185,0.1202
11.41,73.34,0,403.3,12.82,83.74,510.5,0.03512,0.02623,0.06685,0.2102,0.08958,0.239
18.66,121.4,1,1077.0,22.25,145.4,1549.0,0.1457,0.08665,0.11,0.3272,0.1674,0.2291
24.25,166.2,1,1761.0,26.02,180.9,2073.0,0.4268,0.2012,0.2867,0.5803,0.2248,0.4244
14.5,94.28,0,640.7,15.7,102.8,745.5,0.08842,0.05778,0.1099,0.256,0.1221,0.1788
13.37,86.1,0,553.5,14.26,91.99,632.1,0.08092,0.028,0.07325,0.3308,0.08978,0.2531
13.85,88.44,0,588.7,15.49,100.3,725.9,0.0142,0.01141,0.06136,0.08115,0.05104,0.135
13.61,87.76,1,572.6,16.89,113.2,848.7,0.05285,0.03085,0.07862,0.3796,0.1329,0.2884
19.0,123.4,1,1138.0,22.32,148.2,1538.0,0.09271,0.05627,0.08028,0.3207,0.1218,0.2264
15.1,99.58,0,674.5,16.11,105.9,762.6,0.1138,0.08534,0.1807,0.196,0.1423,0.2883
19.79,130.4,1,1192.0,22.63,148.7,1589.0,0.2545,0.1149,0.1589,0.5673,0.1732,0.3861
12.19,79.08,0,455.8,13.34,91.38,545.2,0.02855,0.02882,0.09509,0.09915,0.08187,0.2585
15.46,101.7,1,748.9,19.26,124.9,1156.0,0.1466,0.08087,0.1223,0.3791,0.1514,0.2394
16.16,106.2,1,809.8,19.47,129.7,1175.0,0.1043,0.05613,0.1284,0.2992,0.1312,0.3055
15.71,102.0,0,761.7,17.5,114.3,922.8,0.07135,0.05933,0.09462,0.1709,0.1374,0.1949
18.45,120.2,1,1075.0,22.52,145.6,1590.0,0.1153,0.06847,0.09709,0.3965,0.1379,0.2275
12.77,81.72,1,506.3,14.49,92.04,653.6,0.04711,0.02704,0.05761,0.2177,0.09331,0.1523
11.71,74.72,0,423.6,13.33,86.16,546.7,0.03592,0.026,0.06095,0.1046,0.06968,0.1028
11.43,73.06,0,399.8,12.32,79.93,462.0,0.03503,0.02875,0.06889,0.1399,0.08476,0.1648
14.95,96.85,1,678.1,18.55,121.4,971.4,0.1539,0.08624,0.1305,0.3355,0.1667,0.2164
11.28,73.0,0,384.8,11.92,76.53,434.0,0.04635,0.04796,0.1136,0.08669,0.08611,0.1822
9.738,61.24,0,288.5,10.62,66.53,342.9,0.0,0.0,0.04102,0.0,0.0,0.07204
16.11,105.1,1,813.0,19.92,129.0,1233.0,0.09447,0.05943,0.1137,0.2802,0.1216,0.2236
11.43,73.66,0,398.0,12.78,82.66,503.0,0.02031,0.01861,0.09486,0.07708,0.06402,0.1792
12.9,83.74,0,512.2,14.48,97.17,643.8,0.04894,0.03088,0.09509,0.209,0.1012,0.2548
10.75,68.26,0,355.3,11.95,77.79,441.2,0.02251,0.007875,0.05139,0.09755,0.03413,0.1223
11.9,78.11,0,432.8,13.15,86.26,509.6,0.0371,0.03003,0.1296,0.0942,0.06042,0.2517
11.8,78.99,1,432.0,13.74,91.93,591.7,0.1659,0.07415,0.17,0.4504,0.1865,0.4092
14.95,97.84,0,689.5,16.25,107.1,809.7,0.0905,0.03562,0.1167,0.25,0.08405,0.2521
14.44,93.97,0,640.1,15.85,108.6,766.9,0.08487,0.05532,0.1021,0.3103,0.1599,0.2735
13.74,88.12,0,585.0,15.34,97.19,725.9,0.02881,0.01329,0.06376,0.1564,0.06019,0.1824
13.0,83.51,0,519.4,14.16,90.82,616.7,0.03136,0.02645,0.07589,0.08112,0.06296,0.1105
8.219,53.27,0,203.9,9.092,58.08,249.8,0.1321,0.02168,0.1305,0.5381,0.07879,0.431
9.731,63.78,0,300.2,11.02,71.04,380.5,0.4108,0.07857,0.1599,0.8216,0.1571,0.2772
11.15,70.87,0,381.9,11.99,76.25,440.8,0.01982,0.01786,0.05113,0.07116,0.05506,0.08971
13.15,85.31,0,538.9,14.77,97.67,677.3,0.09293,0.03483,0.08498,0.3009,0.09722,0.2256
12.25,78.27,0,460.3,13.59,86.6,564.2,0.03885,0.02331,0.06679,0.1943,0.08211,0.1788
17.68,117.4,1,963.7,20.47,132.9,1302.0,0.1855,0.1054,0.1665,0.3583,0.1515,0.3498
16.84,108.4,0,880.2,18.22,120.3,1032.0,0.0515,0.02771,0.07223,0.1882,0.08436,0.171
12.06,76.84,0,448.6,13.14,84.08,532.8,0.01972,0.01963,0.05241,0.08636,0.07025,0.1232
10.9,68.69,0,366.8,12.36,78.07,470.0,0.00309,0.006588,0.03718,0.01854,0.03953,0.08294
11.75,76.1,0,419.8,13.32,88.91,543.9,0.06843,0.03738,0.1141,0.1956,0.07909,0.1892
19.19,126.3,1,1157.0,22.03,146.6,1495.0,0.1193,0.09667,0.1185,0.2264,0.1777,0.2016
19.59,130.7,1,1214.0,26.73,174.9,2232.0,0.2508,0.1286,0.1666,0.681,0.2247,0.3846
12.34,79.85,0,464.5,13.58,87.36,553.0,0.0537,0.02822,0.1015,0.1688,0.08194,0.2338
23.27,152.1,1,1686.0,28.01,184.2,2403.0,0.1324,0.09702,0.1145,0.3948,0.2346,0.3583
14.97,95.5,0,690.2,15.98,102.3,782.1,0.01947,0.01939,0.05352,0.0775,0.05754,0.09995
10.8,68.77,0,357.6,11.6,73.66,414.0,0.02531,0.01698,0.05736,0.1047,0.04603,0.1257
16.78,109.3,1,886.3,20.05,130.7,1260.0,0.08422,0.06576,0.09182,0.2318,0.1474,0.2119
17.47,116.1,1,984.6,23.14,155.3,1660.0,0.2159,0.1043,0.1603,0.489,0.1721,0.383
14.97,96.22,0,685.9,16.11,104.6,793.7,0.02602,0.03781,0.07885,0.06648,0.08485,0.1637
12.32,78.85,0,464.1,13.5,86.97,549.1,0.03987,0.037,0.06981,0.1242,0.09391,0.1266
13.43,85.84,1,565.4,17.98,116.6,993.6,0.05858,0.03438,0.06288,0.2644,0.116,0.1546
15.46,102.5,1,736.9,18.79,125.0,1102.0,0.2032,0.1097,0.1555,0.583,0.1827,0.3583
11.08,70.21,0,372.7,11.35,72.01,396.5,0.02363,0.02583,0.05743,0.03938,0.04306,0.0824
10.66,67.49,0,349.6,11.54,73.2,408.3,0.0,0.0,0.04302,0.0,0.0,0.06791
8.671,54.42,0,227.2,9.262,58.36,259.2,0.0,0.0,0.04276,0.0,0.0,0.07057
9.904,64.6,0,302.4,11.26,73.07,390.2,0.1307,0.03716,0.1294,0.3486,0.0991,0.295
16.46,109.3,1,832.9,17.79,123.5,981.2,0.1793,0.08866,0.1556,0.5862,0.2035,0.4667
13.01,82.01,0,526.4,14.0,88.18,608.8,0.001595,0.001852,0.01938,0.007977,0.009259,0.03432
12.81,81.29,0,508.8,13.63,86.7,570.7,0.009193,0.0133,0.03774,0.02758,0.0399,0.05445
27.22,182.1,1,2250.0,33.12,220.8,3216.0,0.2871,0.1878,0.1914,0.534,0.2688,0.4034
21.09,142.7,1,1311.0,26.68,176.5,2089.0,0.2487,0.1496,0.2832,0.678,0.2903,0.7584
15.7,101.2,1,766.6,20.11,129.3,1269.0,0.06593,0.05189,0.08799,0.2902,0.1541,0.3547
11.41,73.53,0,402.0,12.37,79.12,467.2,0.06181,0.02361,0.08155,0.1648,0.06296,0.161
15.28,98.92,1,710.6,17.8,113.8,973.1,0.05375,0.03263,0.1052,0.363,0.1226,0.3299
10.08,63.76,0,317.5,11.87,75.39,437.0,0.001597,0.002404,0.04695,0.00692,0.01042,0.1019
18.31,118.6,1,1041.0,21.31,139.2,1410.0,0.08169,0.05814,0.08468,0.3538,0.1571,0.2445
11.71,74.68,0,420.3,13.01,84.42,521.5,0.03809,0.03239,0.06141,0.1521,0.1099,0.104
11.81,75.27,0,428.9,12.57,79.57,489.5,0.02353,0.01553,0.05562,0.08803,0.04306,0.1
12.3,78.83,0,463.7,13.35,86.65,546.7,0.03844,0.01654,0.07253,0.1423,0.04815,0.165
14.22,94.37,1,609.9,15.74,106.4,762.4,0.1981,0.06618,0.2413,0.8488,0.1772,0.9327
12.77,82.02,0,507.4,13.75,89.04,579.5,0.03112,0.02864,0.06601,0.05186,0.04773,0.08978
9.72,60.73,0,288.1,9.968,62.25,303.8,0.0,0.0,0.02344,0.0,0.0,0.02729
12.34,81.15,1,477.4,15.65,101.7,768.9,0.1085,0.04562,0.1353,0.4425,0.1459,0.4706
14.86,100.4,1,671.4,16.08,118.6,784.7,0.1697,0.08878,0.198,0.4589,0.1727,0.4648
12.91,82.53,0,516.4,13.88,90.81,600.6,0.03873,0.02377,0.05366,0.1764,0.08235,0.1506
13.77,90.63,1,588.9,16.39,111.6,806.9,0.1385,0.06526,0.1267,0.3809,0.1673,0.3122
18.08,117.4,1,1024.0,19.76,129.1,1228.0,0.1103,0.05778,0.08642,0.2535,0.09181,0.1963
19.18,127.5,1,1148.0,23.36,166.4,1688.0,0.1114,0.06772,0.1428,0.3865,0.1708,0.5601
14.45,94.49,1,642.7,18.33,117.9,1044.0,0.118,0.0598,0.1206,0.4967,0.1838,0.4056
12.23,78.54,0,461.0,14.44,92.15,638.4,0.04187,0.04107,0.08087,0.1377,0.108,0.2042
17.54,115.1,1,951.6,20.42,139.5,1239.0,0.1036,0.07488,0.1198,0.3508,0.1939,0.342
23.29,158.9,1,1685.0,25.12,177.0,1986.0,0.3523,0.162,0.2084,0.7892,0.2733,0.4167
13.81,91.56,1,597.8,19.2,128.5,1153.0,0.1558,0.09176,0.1768,0.4646,0.2013,0.5209
12.47,81.09,0,481.9,14.97,96.05,677.9,0.08005,0.03821,0.1058,0.2671,0.1015,0.2378
15.12,98.78,1,716.6,17.77,117.7,989.5,0.0755,0.04079,0.09588,0.3327,0.1252,0.3331
9.876,62.92,0,295.4,10.42,67.08,331.6,0.01756,0.01952,0.07232,0.06213,0.05588,0.1247
17.01,109.7,1,904.3,19.8,130.0,1210.0,0.0695,0.0539,0.07304,0.1932,0.1096,0.1486
13.11,87.02,0,529.4,14.55,99.48,639.3,0.08705,0.05102,0.1483,0.3162,0.1126,0.4402
15.27,98.17,0,725.5,17.38,113.7,932.7,0.05892,0.03157,0.0623,0.2962,0.1035,0.2186
20.58,134.7,1,1290.0,23.24,158.3,1656.0,0.164,0.09561,0.1348,0.3861,0.192,0.292
11.84,75.51,0,428.0,13.3,85.22,546.3,0.02669,0.01393,0.069,0.1471,0.06913,0.188
28.11,188.5,1,2499.0,28.11,188.5,2499.0,0.3201,0.1595,0.1516,0.3201,0.1595,0.1516
17.42,114.5,1,948.0,18.07,120.4,1021.0,0.1682,0.06597,0.1146,0.2803,0.1099,0.1793
14.19,92.87,1,610.7,16.86,115.0,811.3,0.1115,0.06462,0.1306,0.3744,0.1772,0.4059
13.86,90.96,1,578.9,15.75,104.4,750.1,0.09901,0.05602,0.1517,0.4636,0.1654,0.437
11.89,77.32,0,432.2,13.25,86.2,531.2,0.06636,0.03142,0.1154,0.2806,0.1138,0.3046
10.2,65.05,0,321.2,11.48,75.4,403.7,0.05774,0.01071,0.05907,0.1925,0.03571,0.1397
19.8,129.7,1,1230.0,25.73,170.3,2009.0,0.1272,0.08691,0.1306,0.3617,0.182,0.3235
19.53,128.0,1,1223.0,27.9,180.2,2477.0,0.1145,0.06637,0.113,0.3995,0.1625,0.4097
13.65,87.88,0,568.9,15.34,99.71,706.2,0.03888,0.02563,0.08711,0.1759,0.08056,0.2474
13.56,88.59,0,561.3,14.98,101.1,686.6,0.0786,0.04451,0.1192,0.2577,0.0909,0.2698
10.18,65.12,0,313.1,11.17,71.94,375.6,0.01768,0.01915,0.08502,0.06572,0.05575,0.144
15.75,102.6,1,761.3,19.56,125.9,1088.0,0.1147,0.06462,0.1204,0.3976,0.1479,0.448
13.27,84.55,0,546.4,15.14,98.84,708.8,0.03554,0.02456,0.04994,0.1786,0.09678,0.1311
14.34,92.51,0,641.2,16.77,110.4,873.2,0.05724,0.04603,0.07624,0.1632,0.1087,0.1525
10.44,66.62,0,329.6,11.52,73.47,395.4,0.006643,0.01216,0.07722,0.02639,0.04464,0.1153
15.0,97.45,0,684.5,16.41,114.2,808.2,0.06505,0.0378,0.1096,0.3402,0.1379,0.3627
12.62,81.35,0,496.4,14.2,90.67,624.0,0.05438,0.02036,0.07529,0.3911,0.118,0.3454
12.83,85.26,1,503.2,15.2,105.3,706.0,0.1695,0.06861,0.1799,0.6282,0.1977,0.5343
17.05,113.4,1,895.0,19.59,133.5,1189.0,0.191,0.109,0.1572,0.5018,0.2543,0.3934
11.32,71.76,0,395.7,12.08,79.82,452.3,0.01633,0.003125,0.03813,0.1089,0.02083,0.1432
11.22,70.79,0,386.8,12.36,78.44,470.9,0.004967,0.006434,0.03574,0.02318,0.03002,0.06885
20.51,134.4,1,1319.0,24.47,162.7,1872.0,0.1554,0.0834,0.1074,0.4146,0.1563,0.2761
9.567,60.21,0,279.6,10.51,65.74,335.9,0.01652,0.01667,0.04087,0.07161,0.07222,0.09515
14.03,89.79,0,603.4,15.33,98.27,715.5,0.01462,0.01896,0.06945,0.06231,0.07963,0.1513
23.21,153.5,1,1670.0,31.01,206.0,2944.0,0.195,0.1237,0.1682,0.582,0.2593,0.4126
20.48,132.5,1,1306.0,24.22,161.7,1750.0,0.09042,0.06022,0.08348,0.3158,0.1445,0.2311
14.22,92.55,0,623.9,15.75,102.5,764.0,0.1103,0.04408,0.1039,0.3064,0.08219,0.2426
17.46,113.4,1,920.6,22.51,141.2,1408.0,0.1417,0.08811,0.1298,0.3241,0.2066,0.3735
13.64,87.38,0,575.3,14.85,94.11,683.4,0.04705,0.03731,0.0663,0.1533,0.09222,0.1291
12.42,78.61,0,476.5,13.2,83.85,543.4,0.01053,0.01108,0.03393,0.06243,0.04052,0.07776
11.3,73.93,0,389.4,12.58,87.16,472.9,0.1548,0.02854,0.1325,0.7436,0.1218,0.4848
13.75,88.54,0,590.0,15.01,98.0,706.0,0.04697,0.02344,0.06807,0.1359,0.06106,0.1442
19.4,129.1,1,1155.0,21.65,144.9,1417.0,0.2049,0.08886,0.1558,0.3458,0.1564,0.2968
10.48,66.72,0,337.7,11.48,73.68,402.8,0.04831,0.0307,0.05971,0.1181,0.06736,0.1026
